dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
2,"00:01:14,909 --> 00:01:18,913
","<i>...many eyes in imprisoned Europe
turned hopefully, or desperately...</i>

",0.641419,0.139824,0.198011,0.060161,0.043903,0.133879,0.007277,0.499997,0.012899,5e-06,0.0,0.995939,0.0
3,"00:01:19,246 --> 00:01:21,916
","<i>...toward the freedom of the Americas.</i>

",0.295911,0.263231,0.266011,0.091093,0.146063,0.704542,0.362068,0.493711,0.392574,0.661912,0.0,0.0,0.0
4,"00:01:22,166 --> 00:01:24,794
","<i>Lisbon became
the great embarkation point.</i>

",0.244464,0.480073,0.220632,0.081195,0.014931,0.490972,0.084152,0.665332,0.316673,0.464493,0.0,0.0,0.0
5,"00:01:25,002 --> 00:01:28,172
","<i>But not everybody could get
to Lisbon directly.</i>

",0.327358,0.507822,0.094401,0.087342,0.026436,0.361229,0.203225,0.948594,0.079818,0.305023,0.0,0.902459,0.0
6,"00:01:28,589 --> 00:01:32,259
","<i>And so a torturous, roundabout
refugee trail sprang up.</i>

",0.189001,0.738809,0.040295,0.030334,0.045337,0.465351,0.001079,0.120134,0.272044,0.006401,0.0,0.0,0.0
7,"00:01:33,302 --> 00:01:34,929
","<i>Paris to Marseilles...</i>

",0.46255,0.319117,0.125681,0.084351,0.092402,0.039798,0.201511,0.57795,0.333694,0.066017,0.0,0.0,0.0
8,"00:01:40,935 --> 00:01:43,604
","<i>...across the Mediterranean to Oran.</i>

",0.403771,0.218896,0.177519,0.195914,0.094598,0.529394,0.274097,0.592494,0.552229,0.388411,0.0,0.0,0.0
9,"00:01:50,945 --> 00:01:55,407
","<i>Then, by train or auto or foot,
across the rim of Africa...</i>

",0.217635,0.067497,0.34362,0.333868,0.160015,0.752148,0.044093,0.133752,0.233238,0.371819,0.561692,0.991679,0.0
10,"00:01:55,616 --> 00:01:58,119
","<i>...to Casablanca in French Morocco.</i>

",0.376166,0.394443,0.137252,0.089975,0.087742,0.163601,0.247777,0.561904,0.442237,0.155487,0.0,0.0,0.0
11,"00:01:58,369 --> 00:02:02,873
","<i>Here, the fortunate ones,
through money or influence or luck...</i>

",0.154357,0.634648,0.176043,0.024078,0.05895,0.462836,0.027025,0.833657,0.399886,0.161669,0.0,0.99736,0.0
12,"00:02:03,207 --> 00:02:06,544
","<i>...might obtain exit visas
and scurry to Lisbon.</i>

",0.098528,0.439149,0.195464,0.276435,0.054622,0.117195,0.150783,0.566775,0.100612,0.170724,0.0,0.902459,0.0
13,"00:02:06,919 --> 00:02:09,171
","<i>And from Lisbon to the New World.</i>

",0.389108,0.408511,0.148469,0.062624,0.053965,0.479427,0.572667,0.563828,0.199809,0.42212,0.0,0.0,0.0
14,"00:02:09,380 --> 00:02:12,550
","<i>But the others wait in Casablanca.</i>

",0.437656,0.388346,0.100747,0.10692,0.045129,0.548678,0.210072,0.584161,0.139065,0.195636,0.0,0.0,0.0
15,"00:02:13,217 --> 00:02:16,720
","<i>And wait and wait...</i>

",0.159161,0.442364,0.197755,0.205384,0.061555,0.147596,0.377497,0.670817,0.429184,0.193126,0.0,0.0,0.0
16,"00:02:16,887 --> 00:02:18,722
","<i>...and wait.</i>

",0.170977,0.455759,0.219226,0.162499,0.076678,0.192973,0.299638,0.620114,0.397548,0.171328,0.0,0.0,0.0
17,"00:02:18,889 --> 00:02:21,308
","[CHATTERING]

",0.0,0.0,0.0,0.0,0.0,0.068939,0.145665,0.461938,0.270129,0.000114,0.0,0.0,0.0
18,"00:02:28,357 --> 00:02:29,942
","To all officers:

",0.052825,0.573516,0.014238,0.035061,0.402349,0.278754,0.292185,0.606297,0.565307,0.498283,0.0,0.994446,0.0
19,"00:02:30,109 --> 00:02:34,989
","Two German couriers carrying official
documents murdered on train from Oran.

",0.132774,0.018262,0.113696,0.112778,0.728913,0.426285,0.289549,0.573243,0.36261,0.221526,0.096699,0.0,0.0
20,"00:02:35,197 --> 00:02:38,200
","Murderer and possible accomplices
headed for Casablanca.

",0.083766,0.09818,0.090441,0.301693,0.491445,0.826641,0.188515,0.633029,0.755632,0.500882,0.0,0.991679,0.0
21,"00:02:38,409 --> 00:02:42,204
","Round up all suspicious characters
and search them for stolen document.

",0.505184,0.061355,0.03795,0.350355,0.119403,0.922174,0.195092,0.589892,0.569995,0.514855,0.44627,0.0,0.922197
22,"00:02:42,621 --> 00:02:43,956
","Important.

",0.0,0.0,0.0,0.0,0.0,0.28542,0.274434,0.599483,0.543323,0.290188,0.0,0.0,0.0
23,"00:02:50,796 --> 00:02:52,006
","[SPEAKS IN FRENCH]

",0.225995,0.407486,0.213009,0.139298,0.078978,0.312741,0.274356,0.599314,0.543422,0.248274,0.0,0.0,0.0
24,"00:02:52,214 --> 00:02:54,425
","[SIREN WAILING]

",0.374648,0.254636,0.239976,0.083626,0.101232,0.540598,0.2715,0.5956,0.536587,0.192241,0.0,0.0,0.0
25,"00:03:15,738 --> 00:03:17,114
","May we see your papers?

",0.281347,0.583181,0.094569,0.055711,0.041506,0.270456,0.447028,0.707897,0.51759,0.50978,0.0,0.968123,0.0
26,"00:03:17,448 --> 00:03:19,116
","I don't think I have them on me.

",0.275064,0.341509,0.098758,0.180371,0.200477,0.148225,0.429511,0.571409,0.085404,0.01205,0.762356,0.0,0.0
27,"00:03:19,325 --> 00:03:22,620
","- In that case, you'll have to come along.
- Wait. It's possible that I...

",0.358591,0.162618,0.361004,0.104826,0.107364,0.235646,0.496761,0.970476,0.116654,0.509562,0.991164,0.71572,0.0
28,"00:03:22,786 --> 00:03:24,914
","Yes. Here they are.

",0.484901,0.331637,0.137104,0.03861,0.065919,0.771812,0.214305,0.677092,0.506749,0.492301,0.0,0.0,0.0
29,"00:03:28,042 --> 00:03:30,961
","These papers expired three weeks ago.
You'll have to come along.

",0.600793,0.150398,0.073642,0.152245,0.095171,0.004147,0.34715,0.716457,0.149703,0.226512,0.0,0.0,0.965244
30,"00:03:31,170 --> 00:03:32,796
","Halt!

",0.9,0.0,0.9,0.0,0.0,0.289345,0.274434,0.599483,0.543325,0.290951,0.997482,0.0,0.0
31,"00:03:33,547 --> 00:03:35,090
","Halt!

",0.9,0.0,0.9,0.0,0.0,0.289345,0.274434,0.599483,0.543325,0.290951,0.997482,0.0,0.0
32,"00:03:35,382 --> 00:03:37,551
","[GUN FIRES]

",0.601625,0.128092,0.074825,0.16829,0.105817,0.300494,0.274435,0.599483,0.543343,0.300181,0.920855,0.0,0.0
33,"00:03:59,949 --> 00:04:02,701
","- What on earth is going on there?
MAN: I don't know, my dear.

",0.410104,0.060687,0.232454,0.246052,0.154133,0.012721,0.116393,0.174499,0.400334,0.253017,0.77494,0.0,0.0
34,"00:04:02,952 --> 00:04:05,371
","Pardon, monsieur. Pardon, madame.
Have you not heard?

",0.497023,0.231087,0.118668,0.092156,0.125551,0.338504,0.135842,0.613381,0.458772,0.326011,0.0,0.0,0.0
35,"00:04:05,537 --> 00:04:08,332
","We hear very little,
and we understand even less.

",0.54042,0.21928,0.205143,0.042257,0.047889,0.18144,0.073661,0.671874,0.191798,0.002999,0.883404,0.0,0.0
36,"00:04:08,540 --> 00:04:10,960
","Two German couriers
were found murdered in the desert.

",0.143966,0.124808,0.176326,0.10572,0.537585,0.55923,0.163017,0.521418,0.381672,0.340294,0.883404,0.0,0.0
37,"00:04:11,126 --> 00:04:12,169
","The unoccupied desert.

",0.123644,0.130891,0.281902,0.277785,0.27516,0.551411,0.268035,0.472743,0.483635,0.499362,0.0,0.0,0.0
38,"00:04:12,378 --> 00:04:14,880
","This is the customary roundup
of refugees, liberals...

",0.429742,0.112692,0.151036,0.062161,0.344996,0.883289,0.150475,0.472335,0.496711,0.333588,0.0,0.0,0.0
39,"00:04:15,047 --> 00:04:18,676
","...and, of course, a beautiful young girl
for Renault, the prefect of police.

",0.341004,0.249828,0.075504,0.041544,0.356742,0.892074,0.139463,0.58415,0.918566,0.638232,0.0,0.0,0.986725
40,"00:04:23,347 --> 00:04:25,349
","Along with these unhappy refugees...

",0.235336,0.730193,0.016855,0.062895,0.042634,0.441493,0.257301,0.628431,0.561855,0.087727,0.0,0.0,0.0
41,"00:04:25,516 --> 00:04:27,935
","...the scum of Europe
has gravitated to Casablanca.

",0.031083,0.119791,0.094197,0.219336,0.615517,0.231615,0.163468,0.425641,0.460954,0.46796,0.0,0.0,0.0
42,"00:04:28,102 --> 00:04:30,145
","Some of them have been waiting
years for a visa.

",0.267922,0.284838,0.036114,0.337211,0.173747,0.233444,0.384061,0.578983,0.120922,0.51077,0.0,0.978371,0.0
43,"00:04:30,312 --> 00:04:33,357
","I beg of you, monsieur, watch yourself.
Be on guard.

",0.630462,0.112526,0.226735,0.046231,0.056972,0.519739,0.245792,0.787882,0.37041,0.31594,0.0,0.0,0.0
44,"00:04:33,565 --> 00:04:35,567
","This place is full of vultures.

",0.057643,0.438592,0.231453,0.108283,0.267779,0.655755,0.261176,0.211751,0.362502,0.121712,0.0,0.0,0.0
45,"00:04:35,734 --> 00:04:38,487
","Vultures everywhere. Everywhere!

",0.121659,0.134529,0.35656,0.064551,0.416367,0.167596,0.129712,0.603463,0.443011,0.138217,0.0,0.0,0.0
46,"00:04:38,654 --> 00:04:41,407
","- Thank you. Thank you very much.
- Not at all. <i>Au revoir,</i> monsieur.

",0.108748,0.767615,0.040193,0.078546,0.042842,0.288085,0.289505,0.854723,0.625965,0.308453,0.0,0.0,0.816454
47,"00:04:41,573 --> 00:04:43,117
","<i>- Au revoir,</i> madame.
<i>- Au revoir.</i>

",0.234271,0.533581,0.128656,0.095981,0.057735,0.180922,0.129828,0.603381,0.440428,0.144099,0.0,0.0,0.0
48,"00:04:43,284 --> 00:04:45,160
","What an amusing little fellow.

",0.214551,0.615824,0.021502,0.077017,0.14222,0.637349,0.219831,0.672867,0.563366,0.096441,0.0,0.0,0.0
49,"00:04:45,369 --> 00:04:46,662
","Waiter.

",0.0,0.0,0.0,0.0,0.0,0.28937,0.274434,0.599483,0.543325,0.291012,0.0,0.0,0.0
50,"00:04:48,205 --> 00:04:50,040
","- Oh, how silly of me.
- What, dear?

",0.19782,0.172189,0.214801,0.352906,0.185136,0.125885,0.213812,0.826801,0.562758,0.079144,0.0,0.0,0.0
51,"00:04:50,207 --> 00:04:52,584
","I've left my wallet in the hotel.

",0.709857,0.104262,0.093987,0.10778,0.068711,0.007121,0.253223,0.43164,0.408627,0.32284,0.0,0.0,0.0
52,"00:04:54,461 --> 00:04:57,131
","[PLANE ENGINE ROARING]

",0.027881,0.260705,0.436327,0.29948,0.038742,0.307937,0.274386,0.599394,0.543758,0.294738,0.842108,0.0,0.0
