dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
2,"00:02:18,917 --> 00:02:21,953
","It was the Horn & Hardert Cafeteria.

",0.10329,0.470622,0.357082,0.043985,0.114099,0.713859,0.068696,0.158103,0.525839,0.671489,0.0,0.0,0.0
3,"00:02:22,056 --> 00:02:24,732
","And this beautiful girl
walked in,

",0.144994,0.506925,0.078388,0.033634,0.272874,0.510307,0.16335,0.804468,0.864336,0.133082,0.0,0.0,0.0
4,"00:02:24,819 --> 00:02:27,611
","and I turned to Arthur,
and I said,

",0.497528,0.234367,0.133052,0.120587,0.079055,0.304423,0.120148,0.742739,0.181687,0.101825,0.0,0.0,0.0
5,"00:02:27,666 --> 00:02:30,038
","""Arthur, you see that girl?

",0.223879,0.322241,0.217462,0.052495,0.272629,0.563531,0.569033,0.910775,0.867059,0.738245,0.0,0.0,0.0
6,"00:02:30,086 --> 00:02:31,812
","I'm going to marry her.""

",0.112756,0.75733,0.040775,0.100247,0.050495,0.120088,0.192973,0.660611,0.58848,0.059817,0.0,0.0,0.0
7,"00:02:32,106 --> 00:02:34,567
","And two weeks later,
we were married.

",0.186501,0.59466,0.177959,0.072068,0.034944,0.061633,0.212499,0.649211,0.327718,0.106175,0.0,0.0,0.0
8,"00:02:34,765 --> 00:02:38,130
","And it's over 50 years later...

",0.528582,0.189396,0.20193,0.078668,0.072039,0.203004,0.454845,0.671501,0.368693,0.277077,0.0,0.0,0.0
9,"00:02:38,194 --> 00:02:40,249
","and we're still married.

",0.335846,0.482954,0.056435,0.137517,0.031416,0.361755,0.271004,0.595208,0.546608,0.191495,0.0,0.0,0.0
10,"00:02:54,836 --> 00:02:57,270
","- I love you.
- I love you.

",0.350067,0.61656,0.025574,0.047029,0.001858,0.319851,0.139357,0.612683,0.436428,0.225381,0.0,0.0,0.0
11,"00:03:29,280 --> 00:03:30,343
","Hmm...

",0.0,0.0,0.0,0.0,0.0,0.278556,0.274434,0.599483,0.543316,0.290627,0.0,0.0,0.0
12,"00:03:31,213 --> 00:03:32,641
","Oh, hi, Sally.

",0.114781,0.717146,0.090876,0.114011,0.012455,0.336482,0.275528,0.602469,0.549557,0.316087,0.0,0.0,0.0
13,"00:03:32,824 --> 00:03:36,260
","Sally, this is Harry Burns.
Harry, this is Sally Albright.

",0.502881,0.287437,0.022135,0.13449,0.117588,0.440079,0.115697,0.635909,0.667068,0.010692,0.0,0.0,0.0
14,"00:03:36,648 --> 00:03:37,841
","Nice to meet you.

",0.15781,0.751897,0.084345,0.03894,0.020317,0.101832,0.324097,0.684885,0.629899,0.612565,0.0,0.0,0.0
15,"00:03:37,964 --> 00:03:41,491
","- You want to drive the first shift?
- No, you're there already. You can start.

",0.315397,0.21835,0.305257,0.182319,0.047099,0.026024,0.655691,0.351972,0.28661,0.754273,0.0,0.0,0.0
16,"00:03:41,631 --> 00:03:43,098
","Back's open.

",0.230195,0.591088,0.159646,0.024087,0.101192,0.269617,0.274454,0.599396,0.543216,0.270896,0.0,0.0,0.0
17,"00:03:44,660 --> 00:03:47,257
","- Call me.
- I'll call you as soon as I get there.

",0.254553,0.308709,0.296453,0.172273,0.078892,0.280967,0.41407,0.866851,0.771025,0.522944,0.0,0.0,0.0
18,"00:03:47,450 --> 00:03:50,015
","Oh, call me from the road.

",0.166871,0.334808,0.321094,0.229982,0.044777,0.395545,0.395517,0.706464,0.686322,0.602314,0.0,0.0,0.0
19,"00:03:50,459 --> 00:03:51,740
","I'll call you before then.

",0.445546,0.171315,0.241335,0.156683,0.0726,0.384774,0.390476,0.676937,0.596257,0.796083,0.0,0.0,0.849827
20,"00:03:51,921 --> 00:03:53,889
","- I love you.
- I love you.

",0.350067,0.61656,0.025574,0.047029,0.001858,0.319851,0.139357,0.612683,0.436428,0.225381,0.0,0.0,0.0
21,"00:03:59,237 --> 00:04:00,499
","Sorry.

",0.8375,0.0,0.725,0.8,0.7625,0.256157,0.274435,0.599483,0.543324,0.294896,0.0,0.0,0.0
22,"00:04:01,457 --> 00:04:04,174
","- I miss you already.
- I miss you.

",0.949224,0.035591,0.01017,0.010549,0.016757,0.022195,0.171718,0.658653,0.400258,0.218974,0.0,0.0,0.0
23,"00:04:04,275 --> 00:04:06,106
","- Bye.
- Bye.

",0.650416,0.117332,0.195873,0.061273,0.062145,0.202538,0.129791,0.603913,0.443231,0.199918,0.0,0.0,0.0
24,"00:04:23,554 --> 00:04:26,212
","I have it all figured out.
It's an 18-hour trip

",0.414803,0.21735,0.070844,0.321222,0.048097,0.178152,0.559447,0.717148,0.088106,0.597732,0.857009,0.0,0.979426
25,"00:04:26,329 --> 00:04:28,504
","which breaks down into six shifts
of three hours each,

",0.131552,0.275182,0.310407,0.228996,0.142316,0.253422,0.151909,0.535625,0.27205,0.113587,0.0,0.0,0.0
26,"00:04:28,551 --> 00:04:32,023
","or alternatively
we could break it down by mileage.

",0.495941,0.147971,0.237752,0.128481,0.076927,0.563039,0.418382,0.324709,0.354369,0.822977,0.883404,0.997862,0.0
27,"00:04:32,119 --> 00:04:35,962
","There's a map on the visor

",0.349911,0.416803,0.156142,0.05338,0.111733,0.812725,0.169412,0.183985,0.404496,0.666928,0.0,0.0,0.0
28,"00:04:36,034 --> 00:04:39,842
","that I've marked to show the locations
where we can change shifts.

",0.336597,0.435234,0.188232,0.068765,0.072578,0.249808,0.271557,0.492849,0.133963,0.15142,0.0,0.0,0.0
29,"00:04:40,086 --> 00:04:41,721
","Grape?

",0.0,0.0,0.0,0.0,0.0,0.290636,0.274434,0.599483,0.543325,0.291127,0.0,0.0,0.0
30,"00:04:41,983 --> 00:04:44,754
","No. I don't like to eat
between meals.

",0.165018,0.164501,0.252421,0.298811,0.245344,0.017095,0.14957,0.506942,0.136877,0.146816,0.0,0.936899,0.0
31,"00:04:48,925 --> 00:04:50,790
","I'll roll down the window.

",0.44524,0.204711,0.208483,0.102675,0.133994,0.323781,0.263892,0.581069,0.539298,0.545299,0.0,0.0,0.0
32,"00:04:59,516 --> 00:05:01,550
","Why don't you tell me
the story of your life.

",0.450076,0.247089,0.178693,0.154579,0.054693,0.582996,0.375975,0.683492,0.640243,0.150817,0.0,0.0,0.0
33,"00:05:04,275 --> 00:05:08,359
","- The story of my life?
- We got 18 hours to kill before we hit New York.

",0.55516,0.116636,0.224125,0.084873,0.078348,0.278236,0.895938,0.664765,0.068304,0.848481,0.0,0.0,0.0
34,"00:05:08,653 --> 00:05:10,828
","The story of my life isn't even
gonna get us out of Chicago.

",0.669354,0.037759,0.186326,0.112493,0.071643,0.821634,0.219445,0.388526,0.063383,0.234288,0.0,0.959646,0.0
35,"00:05:10,854 --> 00:05:12,587
","I mean nothing's happened to me yet.

",0.622956,0.099913,0.248849,0.077853,0.064267,0.049062,0.205843,0.701326,0.142881,0.006092,0.801827,0.0,0.0
36,"00:05:12,731 --> 00:05:13,978
","That's why I'm going to New York.

",0.405402,0.138242,0.368503,0.108829,0.054987,0.102224,0.21163,0.65657,0.688625,0.145304,0.0,0.0,0.0
37,"00:05:14,004 --> 00:05:15,484
","- So something'll happen to you?
- Yes.

",0.536007,0.276627,0.147598,0.040385,0.07078,0.000484,0.347252,0.926715,0.469847,0.328373,0.0,0.994704,0.0
38,"00:05:15,532 --> 00:05:16,380
","Like what?

",0.18025,0.612384,0.064181,0.09773,0.156586,0.451661,0.303794,0.596161,0.498737,0.356719,0.0,0.984352,0.0
39,"00:05:16,740 --> 00:05:19,436
","Like I'm going to journalism school
to become a reporter.

",0.565576,0.185725,0.164034,0.105575,0.065647,0.035577,0.093533,0.569194,0.398008,0.105,0.0,0.902459,0.0
40,"00:05:19,509 --> 00:05:22,410
","So you can write about things
that happen to other people.

",0.529663,0.157563,0.064904,0.214037,0.120214,0.269179,0.159356,0.872216,0.321369,0.045591,0.0,0.884138,0.0
41,"00:05:23,403 --> 00:05:26,405
","- That's one way to look at it.
- Suppose nothing happens to you?

",0.525614,0.237913,0.159382,0.042932,0.110107,0.015856,0.44691,0.94393,0.257199,0.774212,0.989752,0.972662,0.0
42,"00:05:26,458 --> 00:05:28,571
","Suppose you live there your whole life and nothing happens?

",0.619413,0.315007,0.058857,0.022372,0.034325,0.198602,0.640815,0.788139,0.598494,0.554959,0.182902,0.822231,0.0
43,"00:05:28,635 --> 00:05:30,579
","You never meet anybody,
You never become anything.

",0.515186,0.305806,0.168358,0.046398,0.038318,0.037392,0.194533,0.608088,0.290802,0.234626,0.0,0.987926,0.0
44,"00:05:30,605 --> 00:05:32,392
","And finally you die one of those New York deaths...

",0.487832,0.093603,0.255663,0.096169,0.108237,0.82554,0.670942,0.851386,0.409382,0.53912,0.417844,0.0,0.0
45,"00:05:32,418 --> 00:05:36,053
","where nobody notices for two weeks
until the smell drifts into the hallway.

",0.192953,0.095498,0.175003,0.149893,0.473039,0.137773,0.268473,0.225999,0.187535,0.460493,0.77494,0.0,0.0
46,"00:05:38,600 --> 00:05:41,824
","- Amanda mentioned you had a dark side.
- That's what drew her to me.

",0.701623,0.029059,0.237195,0.04895,0.095888,0.927502,0.212736,0.987844,0.847453,0.416761,0.066924,0.0,0.0
47,"00:05:41,906 --> 00:05:45,239
","- Your dark side?
- Sure. Why, don't you have a dark side?

",0.658226,0.01425,0.307728,0.097661,0.038472,0.835065,0.303394,0.697842,0.336892,0.593687,0.0,0.972662,0.0
48,"00:05:45,600 --> 00:05:49,261
","I know, you're probably one of those cheerful
people who dots their ""I's"" with hearts.

",0.310116,0.287945,0.068815,0.089906,0.296655,0.829896,0.059036,0.644612,0.343937,0.006521,0.0,0.944845,0.0
49,"00:05:49,339 --> 00:05:51,967
","I have just as much of a dark side
as the next person.

",0.464903,0.207522,0.286233,0.068668,0.054974,0.741405,0.040146,0.335809,0.047774,0.083059,0.0,0.84639,0.0
50,"00:05:52,042 --> 00:05:53,047
","Oh, really?

",0.70433,0.070676,0.10685,0.128882,0.074894,0.117085,0.278563,0.609293,0.500757,0.138881,0.0,0.0,0.0
51,"00:05:53,151 --> 00:05:55,654
","When I buy a new book,
I always read the last page first.

",0.468464,0.444273,0.045419,0.085142,0.02731,0.490886,0.687123,0.62693,0.008668,0.759165,0.0,0.0,0.966751
52,"00:05:55,680 --> 00:05:58,337
","That way, in case I die
before I finish, I know how it ends.

",0.8351,0.017496,0.113162,0.013349,0.10262,0.350991,0.36426,0.69987,0.001101,0.396039,0.972143,0.0,0.0
