dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
2,"00:00:39,873 --> 00:00:44,668
","MAN: Mummy got sick.
And it happened just like that.

",0.207936,0.284768,0.048814,0.200378,0.339755,0.07961,0.10918,0.660416,0.030357,0.008296,0.0,0.99277,0.0
3,"00:00:45,712 --> 00:00:49,048
","There's nothing
anybody could do.

",0.235792,0.527238,0.117481,0.130066,0.066576,0.038479,0.120276,0.594535,0.263905,0.103816,0.0,0.999742,0.0
4,"00:00:49,215 --> 00:00:53,010
","It isn't fair.
There's no reason.

",0.472942,0.170517,0.20445,0.219308,0.02445,0.054815,0.103688,0.521175,0.273256,0.058598,0.952933,0.0,0.0
5,"00:00:53,178 --> 00:00:58,891
","And if we start asking why,
we'll go crazy.

",0.297696,0.27462,0.299128,0.205178,0.023985,0.047564,0.598761,0.81733,0.496265,0.229707,0.883404,0.0,0.0
6,"00:01:21,247 --> 00:01:23,248
","Five minutes
in the microwave.

",0.128045,0.526501,0.159922,0.112342,0.158651,0.078673,0.136813,0.582296,0.38669,0.436328,0.0,0.0,0.0
7,"00:01:23,416 --> 00:01:26,168
","Any one of them. Five
minutes, and ready to eat.

",0.212155,0.411505,0.084756,0.103703,0.265655,0.087984,0.428171,0.460529,0.023173,0.237773,0.0,0.978371,0.0
8,"00:01:28,088 --> 00:01:29,713
","Do you know
how to make juice?

",0.199657,0.351421,0.20715,0.209755,0.119795,0.002163,0.279831,0.712131,0.612049,0.797793,0.931994,0.0,0.0
9,"00:01:33,968 --> 00:01:36,345
","Microwave.
Five minutes.

",0.127815,0.587616,0.113723,0.13442,0.100438,0.135327,0.129835,0.603968,0.44196,0.222278,0.0,0.0,0.0
10,"00:01:53,780 --> 00:01:58,283
","Here. It's my shrink.
Call him.

",0.175978,0.087618,0.249297,0.513734,0.026728,0.551228,0.202929,0.703989,0.218933,0.42622,0.0,0.0,0.0
11,"00:02:07,335 --> 00:02:10,295
","Loss of Spouse
Support Group.

",0.689652,0.061397,0.123947,0.081826,0.107547,0.137926,0.142052,0.616674,0.448742,0.407509,0.0,0.0,0.0
