dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident,emotionmean
2,"00:08:15,286 --> 00:08:16,412
","Yeah!
",0,0,0,0,0,0.271792,0.274537,0.599541,0.543072,0.337379,0,0,0,0.166874426
3,"00:10:13,822 --> 00:10:17,201
","- Chickie! Chick, chick, chick!
- Boy! Jet boy!
",0.29013,0.280283,0.06845,0.14696,0.116526,0.434829,0.12673,0.603584,0.486522,0.235248,0,0,0,0.152730543
4,"00:10:17,617 --> 00:10:18,869
","Jet boy!
",0.207594,0.292524,0.103859,0.159133,0.156927,0.250165,0.274282,0.599431,0.54618,0.320548,0,0,0,0.184512938
5,"00:10:29,754 --> 00:10:31,222
","Jet, Jet, Jets!
",0.256875,0.209752,0.163548,0.204906,0.123375,0.283894,0.274435,0.599484,0.543369,0.301816,0,0,0,0.184512938
6,"00:10:32,590 --> 00:10:34,308
","- Come back!
- Come over here!
",0.215409,0.379728,0.154373,0.063247,0.039669,0.236313,0.134096,0.613361,0.457412,0.154265,0,0,0,0.288056685
7,"00:10:34,384 --> 00:10:35,385
","Chickens!
",0,0,0.9,0,0,0.288519,0.274434,0.599483,0.543325,0.291004,0,0,0,
8,"00:10:49,566 --> 00:10:50,909
","Beat it!
",0.2503,0.188136,0.065351,0.189037,0.293493,0.271553,0.27602,0.593647,0.513446,0.64517,0,0,0,
9,"00:11:02,078 --> 00:11:03,421
","Yeah!
",0,0,0,0,0,0.271792,0.274537,0.599541,0.543072,0.337379,0,0,0,
10,"00:11:06,416 --> 00:11:08,214
","All right, go, Jets!
",0.206595,0.303877,0.15595,0.174921,0.058382,0.370673,0.341013,0.644555,0.660699,0.770192,0,0,0.97759,
11,"00:11:13,047 --> 00:11:14,264
","Snowboy!
",0,0,0,0,0,0.068939,0.145665,0.461938,0.270129,0.000114,0,0,0,
12,"00:11:24,601 --> 00:11:25,898
","Come on!
",0.224365,0.328297,0.131888,0.123147,0.073811,0.170329,0.27348,0.595529,0.539521,0.257636,0,0,0,
13,"00:11:34,569 --> 00:11:35,786
","Beat it!
",0.2503,0.188136,0.065351,0.189037,0.293493,0.271553,0.27602,0.593647,0.513446,0.64517,0,0,0,
14,"00:11:45,246 --> 00:11:47,749
","Chico! Andale, chico!
",0.221153,0.259581,0.151991,0.178543,0.117228,0.291959,0.274444,0.599511,0.543529,0.301577,0,0,0,
15,"00:11:48,708 --> 00:11:50,130
","Okay, here we go!
",0.384886,0.051295,0.449549,0.123063,0.04313,0.207306,0.370228,0.6822,0.541741,0.599102,0,0,0,
16,"00:11:51,002 --> 00:11:52,879
","Over here, A-Rab!
",0.258157,0.22353,0.158049,0.175595,0.128417,0.779333,0.350921,0.754534,0.709682,0.406276,0,0,0,
17,"00:12:25,828 --> 00:12:27,751
","Jets! Jets!
",0.214949,0.251099,0.146573,0.209748,0.118436,0.289726,0.274434,0.599483,0.543325,0.291195,0,0,0,
18,"00:12:33,169 --> 00:12:36,013
","Bernardo! Indio! Chaco, come on!
",0.153277,0.408959,0.120589,0.12732,0.063827,0.136825,0.129684,0.593126,0.447969,0.198819,0,0,0,
19,"00:12:42,011 --> 00:12:44,184
","Jets, come on! Follow me, baby.
",0.080041,0.581784,0.107605,0.056709,0.042079,0.440074,0.162706,0.636242,0.574111,0.229882,0,0,0,
20,"00:12:57,110 --> 00:12:59,579
","- Mira, mira, mira!
- Jets!
",0.21966,0.244328,0.156777,0.207973,0.113937,0.183655,0.129863,0.604274,0.44471,0.221726,0,0,0,
21,"00:13:07,287 --> 00:13:08,834
","Andale, Chico!
",0.262992,0.219089,0.160492,0.176016,0.126913,0.298258,0.274449,0.599517,0.543569,0.3097,0,0,0,
22,"00:13:10,081 --> 00:13:11,674
","Come on, Jets!
",0.242482,0.258782,0.148909,0.173662,0.099064,0.250314,0.273426,0.597737,0.551014,0.403642,0,0,0,
23,"00:13:12,417 --> 00:13:13,760
","Hey, Jets!
",0.261934,0.375032,0.05386,0.13663,0.027592,0.323844,0.274454,0.599562,0.544452,0.345947,0,0,0,
24,"00:13:14,544 --> 00:13:15,716
","Hello!
",0,0,0,0,0,0.290636,0.274434,0.599483,0.543326,0.292078,0,0,0,
25,"00:13:19,382 --> 00:13:21,055
","Jets, come on! Julio!
",0.202134,0.300336,0.140655,0.175985,0.090979,0.068019,0.13143,0.597008,0.45664,0.324334,0,0,0,
26,"00:13:21,509 --> 00:13:22,977
","Come on!
",0.224365,0.328297,0.131888,0.123147,0.073811,0.170329,0.27348,0.595529,0.539521,0.257636,0,0,0,
27,"00:13:25,638 --> 00:13:27,185
","Jets!
",0,0,0,0,0,0.289726,0.274434,0.599483,0.543325,0.291195,0,0,0,
28,"00:13:32,061 --> 00:13:33,688
","Come on, boys!
",0.17348,0.440414,0.080968,0.083063,0.084276,0.088321,0.272386,0.591219,0.573405,0.189683,0,0,0,
29,"00:13:35,064 --> 00:13:36,532
","Come on, now!
",0.227466,0.323985,0.135929,0.122878,0.07168,0.136652,0.28391,0.56393,0.505107,0.224798,0,0,0,
